dataset,model,variant,variant_label,center,macro_auroc,macro_auprc,source,note
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,georgia,0.8246703678265314,0.601920013855081,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean,ECGFounder,direct,Direct fine-tune,ningbo,0.9179380450024975,0.6007888441842815,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_fromK500_headft_ep50_seed20260531/eval_result.json,mainline direct
PN2021 clean,ECGFounder,direct,Direct fine-tune,chapman_shaoxing,0.9260872513274849,0.5848525418152,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_fromK500_headft_ep50_seed20260531/eval_result.json,mainline direct
PN2021 clean,ECGFounder,direct,Direct fine-tune,cpsc_2018,0.8629724729405956,0.6219425502971091,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_fromK500_headft_ep50_seed20260531/eval_result.json,mainline direct
PN2021 clean,ECGFounder,direct,Direct fine-tune,georgia,0.8820184204310484,0.7225738706019358,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_fromK500_headft_ep50_seed20260531/eval_result.json,mainline direct
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,ningbo,0.9179380450024975,0.6007888441842815,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,chapman_shaoxing,0.9260872513274849,0.5848525418152,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,cpsc_2018,0.8870055892737474,0.6814601755645691,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,georgia,0.881437503099251,0.7207954607916698,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean,ECGFounder,vae_augmix,VAE + AugMix,ningbo,0.9179380450024975,0.6007888441842815,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
