run_id,model,variant,center,macro_auroc,macro_auprc,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,n_records,n_excluded_ref,effective_n,n_all_zero_labels,n_nonzero_labels,mapping_version,mapping_hash,eval_json
mainline_v7_k500_4gpu_20260605,ECGFounder,direct,cpsc_2018,0.8629724729405956,0.6219425502971091,,,6877,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_fromK500_headft_ep50_seed20260531/eval_result.json
mainline_v7_k500_4gpu_20260605,ECGFounder,direct,georgia,0.8820184204310484,0.7225738706019358,,,10344,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_fromK500_headft_ep50_seed20260531/eval_result.json
mainline_v7_k500_4gpu_20260605,ECGFounder,vae_lhat,ningbo,0.9179380450024975,0.6007888441842815,0.930801321464022,0.7286491708414475,34905,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_M20_lam0p15_ep20_seed20260531/eval_result.json
mainline_v7_k500_4gpu_20260605,ECGFounder,vae_lhat,chapman_shaoxing,0.9260872513274849,0.5848525418152,0.9335993104182526,0.68217645904956,10247,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_M20_lam0p15_ep20_seed20260531/eval_result.json
mainline_v7_k500_4gpu_20260605,ECGFounder,vae_lhat,cpsc_2018,0.8870055892737474,0.6814601755645691,0.9305853903920186,0.832230480537417,6877,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_M20_lam0p15_ep20_seed20260531/eval_result.json
mainline_v7_k500_4gpu_20260605,ECGFounder,vae_lhat,georgia,0.881437503099251,0.7207954607916698,0.889216368802918,0.7829966453413599,10344,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_M20_lam0p15_ep20_seed20260531/eval_result.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,direct,ningbo,0.8802004279822231,0.5052694846014094,0.9000087543666708,0.6745566029126925,34405,500,34405,15662,18743,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,direct,chapman_shaoxing,0.8779312863313266,0.45012105363543126,0.8952854376960367,0.6299314611107842,9747,500,9747,4425,5322,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,direct,cpsc_2018,0.8534699457815836,0.5894170491180504,0.9073478993182807,0.7756896753807103,6377,500,6377,2131,4246,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
mainline_v7_k500_4gpu_20260605,ResNet1D-Wang,direct,georgia,0.8151502398639628,0.5896151741037488,0.8227205733894145,0.6690418855218903,9844,500,9844,1631,8213,v7_super5_sjr_rgq_review_20260528,555ec85d5b51,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_resnet1d_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_benchmark_resnet1d_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json
