dataset,model,variant,variant_label,center,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,source,note
PN2021 clean drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,cpsc_2018,0.9415965551860676,0.8542701835134858,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,georgia,0.8919661244059932,0.7869391783791984,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,ningbo,0.8913238368022632,0.6510154534978668,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/eval_result_v7_exclrefs_crop1000.json,source PTB-XL clean PN2021 eval
PN2021 clean drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,chapman_shaoxing,0.8955035036534935,0.6044260596875406,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/eval_result_v7_exclrefs_crop1000.json,source PTB-XL clean PN2021 eval
PN2021 clean drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,cpsc_2018,0.862723701361601,0.6949741270940386,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/eval_result_v7_exclrefs_crop1000.json,source PTB-XL clean PN2021 eval
PN2021 clean drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,georgia,0.8232746552496031,0.6736634989475094,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/eval_result_v7_exclrefs_crop1000.json,source PTB-XL clean PN2021 eval
PN2021 clean drop-all-zero,EfficientNet1DV2,direct,直接微调,ningbo,0.9002705163856074,0.6641406654789915,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,EfficientNet1DV2,direct,直接微调,chapman_shaoxing,0.9035468161599358,0.6154892680853061,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,EfficientNet1DV2,direct,直接微调,cpsc_2018,0.8735893669150472,0.7087393467010141,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,EfficientNet1DV2,direct,直接微调,georgia,0.8276874955734369,0.6781399433270241,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,ningbo,0.9082210017524522,0.6979450319119638,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,chapman_shaoxing,0.9153182175286171,0.6828362804432342,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,cpsc_2018,0.930476034558657,0.8211511323820341,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,georgia,0.8402165440296467,0.6968380382234474,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_augmix,VAE+AugMix,ningbo,0.9126017370781468,0.6934656395365606,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_augmix,VAE+AugMix,chapman_shaoxing,0.9199082086447954,0.6624993082357296,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_augmix,VAE+AugMix,cpsc_2018,0.9307679731389654,0.8235359676402708,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,EfficientNet1DV2,vae_augmix,VAE+AugMix,georgia,0.8353002459561546,0.691348491386228,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean drop-all-zero,FCN-Wang,direct,直接微调,ningbo,0.8945717605866281,0.6711559931353297,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean drop-all-zero,FCN-Wang,direct,直接微调,chapman_shaoxing,0.8963052894940555,0.6093710864993074,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/benchmark_fcn_wang_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_benchmark_fcn_wang_ep30_seed20260531_val0p2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
