model,total_params,trainable_params_current_method,pn2021_clean_auroc_pp,pn2021_clean_auprc_pp,pn2021c_auroc_pp,pn2021c_auprc_pp,param_scope
EfficientNet1DV2,6413827,6413827,1.9059214095231702,3.0199013748080206,1.7672542506044997,2.7066205301409463,整网参数；当前方法训练同一 EfficientNet1DV2 backbone。
ECGFounder,30958032,133893,0.6417641274951702,1.2972618833890337,0.9490679837306337,2.083609926278429,冻结 ECGFounder encoder + residual adapter head；可训练参数仅统计当前方法 head/adaptor。
ResNet1D-Wang,440837,440837,0.8790898195329078,1.9640398900159117,0.7112656616420465,1.6877714925031095,benchmark backbone 整网参数。
Inception1D,475141,475141,0.6149381133183307,1.2413608452420455,0.47928461058972527,0.9819702154307941,benchmark backbone 整网参数。
FCN-Wang,277253,277253,0.5394101973110077,1.1184161463043796,0.3894749211904136,0.8141761801654601,benchmark backbone 整网参数。
