model,operator,n_centers,direct_clean_auroc,direct_clean_auprc,direct_corrupted_auroc,direct_corrupted_auprc,drop_auroc_pp,drop_auprc_pp
EfficientNet1DV2 direct K500 fullFT,baseline_shift,4,0.8491814812499561,0.5271226897065528,0.7223975928321745,0.37362335229049654,12.678388841778155,15.349933741605632
EfficientNet1DV2 direct K500 fullFT,baseline_wander,4,0.8491814812499561,0.5271226897065528,0.7281831672806431,0.37262187045806955,12.099831396931293,15.45008192484833
EfficientNet1DV2 direct K500 fullFT,emg_noise,4,0.8491814812499561,0.5271226897065528,0.6946542167266946,0.3396449628109194,15.452726452326148,18.747772689563348
EfficientNet1DV2 direct K500 fullFT,powerline_noise,4,0.8491814812499561,0.5271226897065528,0.5439825434779486,0.22959106849509353,30.519893777200746,29.75316212114593
EfficientNet1DV2 direct K500 fullFT,random_leads_masking,4,0.8491814812499561,0.5271226897065528,0.7219383692369967,0.3677536891122714,12.724311201295935,15.936900059428144
EfficientNet1DV2 direct K500 fullFT,five_operator_mean,4,0.8491814812499561,0.5271226897065528,0.6822311779108915,0.3366469886333701,16.695030333906455,19.047570107318275
ECGFounder direct K500 fullFT,baseline_shift,4,0.889796740921935,0.6142220697882592,0.8262419969700988,0.5081034663609949,6.355474395183613,10.61186034272643
ECGFounder direct K500 fullFT,baseline_wander,4,0.889796740921935,0.6142220697882592,0.7648151224527843,0.4346726696869077,12.498161846915067,17.95494001013515
ECGFounder direct K500 fullFT,emg_noise,4,0.889796740921935,0.6142220697882592,0.7360236834927942,0.3856495078970289,15.377305742914071,22.85725618912303
ECGFounder direct K500 fullFT,powerline_noise,4,0.8896268364879268,0.6141621772068417,0.7271825496017889,0.42434540959943445,16.244428688613798,18.98167676074073
ECGFounder direct K500 fullFT,random_leads_masking,4,0.889796740921935,0.6142220697882592,0.7701959267290546,0.42246573639248136,11.960081419288038,19.175633339577786
ECGFounder direct K500 fullFT,five_operator_mean,4,0.8897627600351333,0.6142100912719757,0.7648918558493042,0.4350473579873695,12.487090418582916,17.916273328460626
