model,corruption,n_units,clean_auroc,clean_auprc,corrupted_auroc,corrupted_auprc,drop_auroc_pp,drop_auprc_pp
ECGFounder,baseline_shift,4,0.8818562113224057,0.5992429901974711,0.8469946506532321,0.546867859685204,3.4861560669173564,5.237513051226701
ECGFounder,baseline_wander,4,0.8818562113224057,0.5992429901974711,0.8665985526621137,0.5767999410012054,1.5257658660291884,2.244304919626572
ECGFounder,emg_noise,4,0.8818562113224057,0.5992429901974711,0.8220978249554128,0.5008508384368185,5.9758386366992795,9.83921517606525
ECGFounder,powerline_noise,4,0.8818562113224057,0.5992429901974711,0.7953511475398136,0.4700712018630494,8.650506378259198,12.917178833442168
ECGFounder,random_leads_masking,4,0.8818562113224057,0.5992429901974711,0.792347696416355,0.45261136546679703,8.95085149060506,14.663162473067402
EfficientNet1DV2,baseline_shift,4,0.8769551390356237,0.5683247679913197,0.8178025779093641,0.48426441042306184,5.915256112625972,8.406035756825784
EfficientNet1DV2,baseline_wander,4,0.8769551390356237,0.5683247679913197,0.8471858262432482,0.5222785842205818,2.9769312792375544,4.604618377073782
EfficientNet1DV2,emg_noise,4,0.8769551390356237,0.5683247679913197,0.828320924861421,0.48712769261845024,4.863421417420277,8.11970753728694
EfficientNet1DV2,powerline_noise,4,0.8769551390356237,0.5683247679913197,0.8668773124688173,0.5535838743951697,1.0077826566806474,1.4740893596150024
EfficientNet1DV2,random_leads_masking,4,0.8769551390356237,0.5683247679913197,0.782908524189962,0.4229427117603316,9.404661484566176,14.538205623098806
