operator,model,center,corruption_input,clean_auroc,corrupted_auroc,drop_auroc_pp,clean_auprc,corrupted_auprc,drop_auprc_pp,n_records,n_all_zero_labels,n_excluded_ref_ids_for_center,powerline_branch,status,output_json
random_leads_masking,ecgfounder,chapman_shaoxing,bottleneck5000,0.9125,0.7896,12.2920,0.5308,0.3349,19.5940,9747,4425,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/chapman_shaoxing/random_leads_masking/dual_model_10to15pp_v1.json
baseline_shift,effnet,cpsc_2018,raw_first,0.8212,0.7052,11.6057,0.5594,0.4067,15.2641,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/cpsc_2018/baseline_shift/dual_model_10to15pp_v1.json
baseline_shift,ecgfounder,cpsc_2018,bottleneck5000,0.8845,0.8075,7.6954,0.7084,0.5587,14.9731,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/cpsc_2018/baseline_shift/dual_model_10to15pp_v1.json
baseline_wander,effnet,cpsc_2018,raw_first,0.8212,0.7250,9.6195,0.5594,0.4152,14.4107,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/cpsc_2018/baseline_wander/dual_model_10to15pp_v1.json
baseline_wander,ecgfounder,cpsc_2018,bottleneck5000,0.8845,0.7632,12.1294,0.7084,0.5006,20.7814,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/cpsc_2018/baseline_wander/dual_model_10to15pp_v1.json
emg_noise,effnet,cpsc_2018,raw_first,0.8212,0.7062,11.5035,0.5594,0.4008,15.8537,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/cpsc_2018/emg_noise/dual_model_10to15pp_v1.json
emg_noise,ecgfounder,cpsc_2018,bottleneck5000,0.8845,0.7558,12.8634,0.7084,0.4614,24.7083,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/cpsc_2018/emg_noise/dual_model_10to15pp_v1.json
powerline_noise,effnet,cpsc_2018,native_raw_first,0.8212,0.7302,9.1063,0.5593,0.4615,9.7820,6377,2131,500,native_raw_first,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/cpsc_2018/powerline_noise/dual_model_10to15pp_v1.json
powerline_noise,ecgfounder,cpsc_2018,native_raw_first,0.8851,0.7376,14.7479,0.7107,0.5272,18.3467,6377,2131,500,native_raw_first,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/cpsc_2018/powerline_noise/dual_model_10to15pp_v1.json
random_leads_masking,effnet,cpsc_2018,raw_first,0.8212,0.7154,10.5829,0.5594,0.4173,14.2100,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/cpsc_2018/random_leads_masking/dual_model_10to15pp_v1.json
random_leads_masking,ecgfounder,cpsc_2018,bottleneck5000,0.8845,0.7723,11.2153,0.7084,0.4888,21.9619,6377,2131,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/cpsc_2018/random_leads_masking/dual_model_10to15pp_v1.json
baseline_shift,effnet,georgia,raw_first,0.8207,0.6929,12.7782,0.5982,0.4471,15.1132,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/georgia/baseline_shift/dual_model_10to15pp_v1.json
baseline_shift,ecgfounder,georgia,bottleneck5000,0.8568,0.7953,6.1463,0.6637,0.5719,9.1867,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/georgia/baseline_shift/dual_model_10to15pp_v1.json
baseline_wander,effnet,georgia,raw_first,0.8207,0.6996,12.1134,0.5982,0.4566,14.1617,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/georgia/baseline_wander/dual_model_10to15pp_v1.json
baseline_wander,ecgfounder,georgia,bottleneck5000,0.8568,0.7119,14.4891,0.6637,0.4843,17.9428,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/georgia/baseline_wander/dual_model_10to15pp_v1.json
emg_noise,effnet,georgia,raw_first,0.8207,0.6535,16.7145,0.5982,0.4098,18.8447,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/georgia/emg_noise/dual_model_10to15pp_v1.json
emg_noise,ecgfounder,georgia,bottleneck5000,0.8568,0.6669,18.9839,0.6637,0.4272,23.6499,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/georgia/emg_noise/dual_model_10to15pp_v1.json
powerline_noise,effnet,georgia,native_raw_first,0.8207,0.7103,11.0396,0.5982,0.4835,11.4681,9844,1631,500,native_raw_first,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/georgia/powerline_noise/dual_model_10to15pp_v1.json
powerline_noise,ecgfounder,georgia,native_raw_first,0.8564,0.7043,15.2090,0.6630,0.4864,17.6607,9844,1631,500,native_raw_first,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/georgia/powerline_noise/dual_model_10to15pp_v1.json
random_leads_masking,effnet,georgia,raw_first,0.8207,0.7175,10.3213,0.5982,0.4672,13.1023,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/georgia/random_leads_masking/dual_model_10to15pp_v1.json
random_leads_masking,ecgfounder,georgia,bottleneck5000,0.8568,0.7507,10.6114,0.6637,0.5206,14.3185,9844,1631,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/georgia/random_leads_masking/dual_model_10to15pp_v1.json
