model,center,n_units,clean_auroc,clean_auprc,corrupted_auroc,corrupted_auprc,drop_auroc_pp,drop_auprc_pp
ECGFounder,chapman_shaoxing,5,0.904535459421526,0.5199409023287312,0.8507676185543391,0.4419653764040904,5.376784086718692,7.797552592464087
ECGFounder,cpsc_2018,5,0.8829279001218914,0.7060082582175874,0.8191195235860421,0.5758530056364448,6.380837653584923,13.015525258114256
ECGFounder,georgia,5,0.8446102625930347,0.6433593232587314,0.7891602617456733,0.5672500532114073,5.545000084736136,7.610927004732401
ECGFounder,ningbo,5,0.8953512231531704,0.5276634769848343,0.8396644938954873,0.452692529910517,5.5686729257683165,7.49709470743173
EfficientNet1DV2,chapman_shaoxing,5,0.8991837684898536,0.5131274499570243,0.8506267296524032,0.42707583512676134,4.855703883745046,8.605161483026299
EfficientNet1DV2,cpsc_2018,5,0.8829042114897502,0.6216868945276021,0.8261932703976884,0.537919332674318,5.671094109206181,8.3767561853284
EfficientNet1DV2,georgia,5,0.8336094806001104,0.613515080586258,0.7894419132912533,0.5580359383737172,4.416756730885707,5.547914221254084
EfficientNet1DV2,ningbo,5,0.8921230955627808,0.5249696468943943,0.8482142191969051,0.4531267125592796,4.390887636587568,7.18429343351147
