key,method,group,status,test_macro_auroc,test_macro_auprc,best_val_macro_auroc,best_val_macro_auprc,delta_auroc_vs_real2000,delta_auprc_vs_real2000,epochs_trained,checkpoint_metric,seed,lr,batch_size,preprocess_mode,norm_mode,run_dir,result_json,note
method_b_real_synth_mv4,real2000 + prompt-token synth,ablation,ok,0.8477,0.6419,0.8418,,,,50,,42,0.01,64,minimal_resample,per_sample_global,/root/autodl-tmp/graduate_project/method_b_real2000_plus_synth3364_mv4_seed42,/root/autodl-tmp/graduate_project/method_b_real2000_plus_synth3364_mv4_seed42/train_result.json,Direct real+synth training from random init.
method_b_actual_report,real2000 + actual-report prompt synth,ablation,ok,0.8412,0.6239,0.8414,0.6247,,,50,auroc,42,0.01,64,minimal_resample,per_sample_global,/root/autodl-tmp/graduate_project/method_b_real2000_plus_synth3313_actual_report_mv4_step2000_seed42,/root/autodl-tmp/graduate_project/method_b_real2000_plus_synth3313_actual_report_mv4_step2000_seed42/train_result.json,Actual-report prompt variant.
method_b_classfallback,real2000 + class-fallback new generation,ablation,ok,0.8432,0.6065,0.8395,0.5934,,,50,auroc,42,0.01,64,minimal_resample,per_sample_global,/root/autodl-tmp/graduate_project/method_b_real2000_plus_synth3391_classfallback_newgen_sameclass_cap20_seed42,/root/autodl-tmp/graduate_project/method_b_real2000_plus_synth3391_classfallback_newgen_sameclass_cap20_seed42/train_result.json,Class-fallback prompt variant.
synthetic_only_no_token_20k,no-token synthetic-only pretrain,ablation,ok,0.6023,0.3851,0.5902,0.3716,,,11,auroc,5042,0.01,64,minimal_resample,per_sample_global,/root/autodl-tmp/graduate_project/ablation_vanilla_no_token_synthonly_pretrain_n20000_seed42,/root/autodl-tmp/graduate_project/ablation_vanilla_no_token_synthonly_pretrain_n20000_seed42/train_result.json,Synthetic-only classifier is weak without real fine-tuning.
center_token_hard_ft,center-token hard pretrain -> real fine-tune,main,ok,0.8735,0.7013,0.8745,0.7066,,,17,auroc,9042,0.0001,64,minimal_resample,per_sample_global,/root/autodl-tmp/graduate_project/self_distill_v2_e23_v46_class_oracle_hardlabel_r10_realfine_lr1e4_seed42_auroc,artifacts/evidence_pack/raw/train_results/center_token_hard_ft.train_result.json,Center-token synthetic pretraining followed by real2000 fine-tune; thesis main method.
