view,variant,mean_macro_auroc,mean_macro_auprc,n_centers,delta_auroc_pp_vs_direct,delta_auprc_pp_vs_direct,delta_auroc_pp_vs_noaug,delta_auprc_pp_vs_noaug
PN2021 clean,direct,0.897254047,0.632539452,4,,,,
PN2021 clean,vae_noaug,0.903117097,0.646974256,4,+0.586,+1.443,,
PN2021 clean,vae_augmix,0.903671689,0.645512071,4,+0.642,+1.297,+0.055,-0.146
PN2021-C,direct,0.890040603,0.616534609,4,,,,
PN2021-C,vae_noaug,0.896905164,0.631439073,4,+0.686,+1.490,,
PN2021-C,vae_augmix,0.899531283,0.637370709,4,+0.949,+2.084,+0.263,+0.593
PN2021-C drop-all-zero,direct,0.909594148,0.728680862,4,,,,
PN2021-C drop-all-zero,vae_noaug,0.914840459,0.743769925,4,+0.525,+1.509,,
PN2021-C drop-all-zero,vae_augmix,0.917660288,0.750777469,4,+0.807,+2.210,+0.282,+0.701
