variant,n_units,n_centers,clean_macro_auroc_mean4,clean_macro_auprc_mean4,corrupted_macro_auroc_mean20,corrupted_macro_auprc_mean20,drop_auroc_mean20,drop_auprc_mean20,drop_all_zero_macro_auroc_mean20,drop_all_zero_macro_auprc_mean20,delta_corrupted_auroc_pp_vs_direct,delta_corrupted_auprc_pp_vs_direct,delta_drop_auroc_pp_vs_direct,delta_drop_auprc_pp_vs_direct,delta_corrupted_auroc_pp_vs_noaug,delta_corrupted_auprc_pp_vs_noaug,delta_drop_auroc_pp_vs_noaug,delta_drop_auprc_pp_vs_noaug
direct,20,4,0.8972540474254067,0.6325394517246317,0.8135282577809437,0.506445081180731,0.08372578964446267,0.12609437054390069,0.8362911412681026,0.6338501229341337,0.0,0.0,0.0,0.0,,,,
vae_noaug,20,4,0.9031170971757452,0.6469742555889301,0.8168789708213954,0.5132123693488261,0.08623812635434971,0.13376188624010404,0.8377842258248999,0.6404473740148189,0.3350713040451647,0.6767288168095131,-0.2512336709887042,-0.7667515696203359,,,,
vae_augmix,20,4,0.9036716887003584,0.6455120705585219,0.8169198957638087,0.5132178747838536,0.08675179293654978,0.1322941957746683,0.8381301086038284,0.6409673229462785,0.33916379828650145,0.6772793603122662,-0.3026003292087104,-0.6199825230767619,0.0040924942413367305,0.0005505435027530758,-0.05136665822000619,0.14676904654357392
