variant,center,corruption,macro_auroc,macro_auprc,auroc_drop_vs_clean,auprc_drop_vs_clean,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,clean_macro_auroc,clean_macro_auprc,n_records,n_all_zero_labels,source_json
direct,cpsc_2018,baseline_shift,0.8604115319378997,0.6152754214767957,0.0025609410026959933,0.006667128820313395,0.9094026125818856,0.7653661226962982,0.8629724729405956,0.6219425502971091,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
direct,cpsc_2018,random_leads_masking,0.8098908917031578,0.5194458600243151,0.05308158123743789,0.10249669027279396,0.8525503801376776,0.6695418881878269,0.8629724729405956,0.6219425502971091,6377,2131,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
direct,georgia,powerline_noise,0.7014753178500295,0.5008268818674347,0.1805431025810189,0.22174698873450105,0.7095914771583263,0.5734180356663735,0.8820184204310484,0.7225738706019358,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
direct,georgia,emg_noise,0.7309574908806857,0.4950052337931926,0.15106092955036265,0.22756863680874317,0.7461462040918272,0.575283310921289,0.8820184204310484,0.7225738706019358,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
direct,georgia,baseline_wander,0.8456774037387356,0.6632096363191987,0.03634101669231282,0.05936423428273707,0.857966850824998,0.7344026311743788,0.8820184204310484,0.7225738706019358,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
direct,georgia,baseline_shift,0.8760873301393629,0.7120134123963942,0.005931090291685481,0.010560458205541634,0.8838833804361058,0.7731113941996128,0.8820184204310484,0.7225738706019358,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
direct,georgia,random_leads_masking,0.7974787304410124,0.5801270102238714,0.08453968999003603,0.14244686037806442,0.8063440178585825,0.6475085299666274,0.8820184204310484,0.7225738706019358,9844,1631,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/direct/georgia/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,ningbo,powerline_noise,0.7334638076944249,0.37099672077335766,0.18447423730807266,0.2297921234109238,0.7498953991682417,0.5332821358584816,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,ningbo,emg_noise,0.7746090828107487,0.38918216377602716,0.14332896219174884,0.2116066804082543,0.7993212358862329,0.5542011580028003,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
vae_noaug,ningbo,baseline_wander,0.8733026630347183,0.5115161678350477,0.044635381967779275,0.08927267634923375,0.894539831763519,0.6695019134489513,0.9179380450024975,0.6007888441842815,34405,15662,/home/linbinhao/ECG_adv_data/runs/ecgfounder_pn2021c_calibrated_10to20pp_20260615/vae_noaug/ningbo/eval_pn2021_c_v7_refexcluded_stream_calibrated_10to20pp_s5.json
