variant,corruption,n_centers,corrupted_macro_auroc_mean4,corrupted_macro_auprc_mean4,drop_auroc_mean4,drop_auprc_mean4
direct,powerline_noise,4,0.7277650154095832,0.4249063347647605,0.16948903201582352,0.20763311695987105
direct,emg_noise,4,0.7672176064444693,0.43540328935015815,0.1300364409809373,0.19713616237447348
direct,baseline_wander,4,0.8641894388287288,0.5658865384866663,0.03306460859667784,0.06665291323796532
direct,baseline_shift,4,0.8925352418008388,0.6228298822821932,0.0047188056245678345,0.009709569442438448
direct,random_leads_masking,4,0.8159339864210998,0.4831993610198765,0.0813200610043068,0.1493400907047551
vae_noaug,powerline_noise,4,0.7261441999638245,0.42506683639500803,0.17697289721192075,0.22190741919392204
vae_noaug,emg_noise,4,0.7667626109588502,0.4345471997472554,0.13635448621689497,0.2124270558416747
vae_noaug,baseline_wander,4,0.8698280696843133,0.5760281937103273,0.033289027491432005,0.0709460618786027
vae_noaug,baseline_shift,4,0.8999133270433324,0.6384461015930973,0.00320377013241277,0.008528153995832705
vae_noaug,random_leads_masking,4,0.821746646456657,0.4919735152984421,0.08137045071908819,0.15500074029048802
vae_augmix,powerline_noise,4,0.7244668771119527,0.41966981804180625,0.17920481158840557,0.2258422525167156
vae_augmix,emg_noise,4,0.7627484276341762,0.4281144178634004,0.14092326106618216,0.2173976526951215
vae_augmix,baseline_wander,4,0.8699593434135374,0.5751769266290162,0.033712345286820905,0.07033514392950568
vae_augmix,baseline_shift,4,0.9021772831927196,0.6431578384311922,0.0014944055076386853,0.0023542321273296862
vae_augmix,random_leads_masking,4,0.8252475474666567,0.4999703729538528,0.07842414123370153,0.14554169760466903
